Date,Type,Link
2023-12-28 19:48:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7146081095946608640
2023-12-28 19:44:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7146130883899559936
2023-12-28 19:41:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7146100178402410496
2023-12-28 19:41:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7146208279667417088
2023-12-28 01:23:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7145833061631385601%2C7145938565389082624%29
2023-12-28 01:23:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7145833061631385601%2C7145907668325502976%29
2023-12-27 20:54:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7141020248769507328
2023-12-27 20:43:11,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145775331608608768
2023-12-27 20:41:45,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145737610106241025
2023-12-27 19:10:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145833061631385601?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7145833061631385601%2C7145833819504373761%29
2023-12-27 14:31:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145210409053048832
2023-12-27 13:10:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145759053565132800
2023-12-27 04:06:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145455918133030912
2023-12-27 00:58:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145507250470662144
2023-12-26 23:49:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145539002597638145%29
2023-12-26 23:49:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145517137149833216%29
2023-12-26 23:49:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145525351908110336%29
2023-12-26 22:05:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145531929029763072%29
2023-12-26 20:16:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145505110293467136%29
2023-12-26 20:16:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145467193638514689%29
2023-12-26 20:16:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145495536949788672%29
2023-12-26 18:07:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841031213057
2023-12-26 17:35:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145462643271655424%29
